S.No,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,w
140,Punjab,JALANDHAR,2014,Rabi       ,Wheat,167000,685000,2
141,Punjab,MANSA,2014,Rabi       ,Wheat,166000,742000,1
142,Uttar Pradesh,BAHRAICH,2014,Rabi       ,Wheat,165865,394095,1
143,Uttar Pradesh,MAHARAJGANJ,2014,Kharif     ,Rice,165814,406742,1
144,Uttar Pradesh,BARABANKI,2014,Rabi       ,Wheat,165449,392114,1
145,Uttar Pradesh,BAHRAICH,2014,Kharif     ,Rice,165249,367679,1
146,Uttar Pradesh,MUZAFFARNAGAR,2014,Kharif     ,Sugarcane,164216,11803189,1
147,Uttar Pradesh,SITAPUR,2014,Kharif     ,Rice,164128,382911,1
148,Bihar,AURANGABAD,2014,Winter     ,Rice,164023,619195,1
149,West Bengal,DINAJPUR DAKSHIN,2014,Winter     ,Rice,163582,462884,1
150,Uttar Pradesh,BAREILLY,2014,Kharif     ,Rice,162390,334361,1
151,Uttar Pradesh,SIDDHARTH NAGAR,2014,Rabi       ,Wheat,161544,408222,1
152,Chhattisgarh,BEMETARA,2014,Kharif     ,Rice,160884,274799,1
153,West Bengal,MEDINIPUR EAST,2014,Summer     ,Rice,159819,563332,1
154,Odisha,BHADRAK,2014,Winter     ,Rice,158000,222000,1
155,Telangana ,KHAMMAM,2014,Kharif     ,Cotton(lint),157416,484286,1
156,Uttar Pradesh,KHERI,2014,Kharif     ,Rice,155403,423318,1
157,Uttar Pradesh,JALAUN,2014,Rabi       ,Wheat,155125,206239,1
158,Uttar Pradesh,DEORIA,2014,Rabi       ,Wheat,155105,291133,1
159,Uttar Pradesh,JHANSI,2014,Rabi       ,Wheat,155061,183641,1
160,Uttar Pradesh,GONDA,2014,Rabi       ,Wheat,154990,401889,1
161,West Bengal,MURSHIDABAD,2014,Kharif     ,Jute,154776,2225245,1
162,Maharashtra,PARBHANI,2014,Kharif     ,Soyabean,154600,49100,1
163,Maharashtra,WARDHA,2014,Kharif     ,Soyabean,154200,67100,1
164,Maharashtra,GADCHIROLI,2014,Kharif     ,Rice,152800,201600,1
165,Maharashtra,NASHIK,2014,Kharif     ,Bajra,152700,108900,1
166,Uttar Pradesh,GORAKHPUR,2014,Kharif     ,Rice,152431,336873,1
167,Uttar Pradesh,MAHARAJGANJ,2014,Rabi       ,Wheat,152333,361486,1
168,Uttar Pradesh,BANDA,2014,Rabi       ,Wheat,151692,137988,1
169,West Bengal,BARDHAMAN,2014,Summer     ,Rice,150267,490532,1
170,Punjab,HOSHIARPUR,2014,Rabi       ,Wheat,150000,540000,1
171,Uttar Pradesh,MAINPURI,2014,Rabi       ,Wheat,149855,349312,1
172,Bihar,PASHCHIM CHAMPARAN,2014,Whole Year ,Sugarcane,149624,9614539,1
173,Karnataka,TUMKUR,2014,Whole Year ,Coconut ,149419,1283692,1
174,Uttar Pradesh,ALLAHABAD,2014,Kharif     ,Rice,149419,313780,1
175,Uttar Pradesh,SITAPUR,2014,Kharif     ,Sugarcane,148655,9903396,1
176,Uttar Pradesh,RAMPUR,2014,Rabi       ,Wheat,147846,264644,1
177,Maharashtra,AKOLA,2014,Kharif     ,Cotton(lint),147000,122600,1
178,Assam,NAGAON,2014,Winter     ,Paddy,146934,270857,1
179,Assam,NAGAON,2014,Winter     ,Rice,146934,270857,2
180,Maharashtra,KOLHAPUR,2014,Whole Year ,Sugarcane,146300,15031600,1
181,Telangana ,NALGONDA,2014,Rabi       ,Rice,145917,491594,1
182,Maharashtra,SATARA,2014,Rabi       ,Jowar,145600,127100,1
183,Karnataka,BIJAPUR,2014,Rabi       ,Jowar,144817,134137,1
184,Uttar Pradesh,PILIBHIT,2014,Rabi       ,Wheat,144784,371371,1
185,Bihar,ROHTAS,2014,Rabi       ,Wheat,144730,300101,1
186,Andhra Pradesh,KURNOOL,2014,Rabi       ,Gram,143877,190205,1
187,Uttar Pradesh,SAMBHAL,2014,Rabi       ,Wheat,143456,283613,1
188,Uttar Pradesh,LALITPUR,2014,Kharif     ,Urad,142838,104272,1
189,Uttar Pradesh,HARDOI,2014,Kharif     ,Rice,142184,279392,1
190,Uttar Pradesh,BALLIA,2014,Rabi       ,Wheat,141821,321804,1
191,Maharashtra,CHANDRAPUR,2014,Kharif     ,Rice,141800,106700,1
192,West Bengal,MALDAH,2014,Winter     ,Rice,141455,457341,1
193,Uttar Pradesh,JAUNPUR,2014,Kharif     ,Rice,140428,338993,1
194,Odisha,KENDUJHAR,2014,Winter     ,Rice,140000,354000,1
